Replicate,Day,Well_Num,Culture,Hgui_Alive_Num,Hgui_dead_Num,Scer_Alive_Num,Scer_Dead_num,Total_Cells
3,8,C3,3894,2385,16422,9933,1260,30000
2,9,H2,3984,1466,11048,16293,1193,30000
1,7,A3,3911,9981,17898,928,1193,30000
1,7,D6,3911,16185,11195,1661,959,30000
1,7,C5,3905,11268,9250,7648,1834,30000
1,6,C5,3905,15633,12379,1265,723,30000
2,6,C1,3911,2634,23622,1518,2226,30000
2,7,C3,3824,8593,10206,9092,2109,30000
2,8,F4,3905,9102,14973,4498,1427,30000
3,5,E3,3324m,5032,6308,11992,6668,30000
3,8,D6,3973,2249,18609,6074,3068,30000
3,5,A3,3973,2038,15085,7035,5842,30000