"","Replicate","Day","Well_Num","Culture","Hgui_Alive_Num","Hgui_Dead_Num","Scer_Alive_Num","Scer_Dead_Num","Total_Cells","Hgui_totalprop","Scer_totalprop","norm_Hgui_totalprop"
"1","3",8,"C3",NA,2385,16422,9933,1260,30000,0.6269,0.3731,0.597262732779897
"2","1",7,"A3","3911",9981,17898,928,1193,30000,0.9293,0.0707,0.932095455113493
"3","1",7,"D6","3911",16185,11195,1661,959,30000,0.912666666666667,0.0873333333333333,0.914046030141564
"4","1",6,"C5","3905",15633,12379,1265,723,30000,0.933733333333333,0.0662666666666667,0.939332011163748
"5","2",6,"C1","3911",2634,23622,1518,2226,30000,0.8752,0.1248,0.8692000146719
"6","2",7,"C3","3824",8593,10206,9092,2109,30000,0.626633333333333,0.373366666666667,0.593574800826202
"7","3",5,"A3","3973",2038,15085,7035,5842,30000,0.570766666666667,0.429233333333333,0.537454677302393
"8","1",5,"F6","3920",6907,20384,1024,1477,30000,0.9097,0.0833666666666667,0.916163484695124
"9","1",5,"D2","3852",8662,16053,3285,1733,30000,0.823833333333333,0.167266666666667,0.826253882936023
"10","1",5,"E5","3852",13667,13914,1456,866,30000,0.919366666666667,0.0774,0.926285295452166
"11","1",5,"A6","3984",18599,10107,723,451,30000,0.956866666666667,0.0391333333333333,0.965550940630344
"12","1",5,"C3","3920",9457,14807,4135,1438,30000,0.8088,0.185766666666667,0.810512722069038
"13","2",7,"A6","3852",1814,14569,13064,548,30000,0.5461,0.453733333333333,0.504462968427265
"14","2",5,"A6","3852",3287,19817,6279,595,30000,0.770133333333333,0.229133333333333,0.757508102268635
"15","1",6,"A6","3984",13393,8974,6741,725,30000,0.745566666666667,0.248866666666667,0.721085007417478
"16","2",6,"A6","3852",2458,16576,10793,161,30000,0.634466666666667,0.365133333333333,0.604298866595752
"17","1",7,"A6","3984",8460,12472,7993,876,30000,0.697733333333333,0.295633333333333,0.680814182007302
"18","1",8,"A6","3984",1576,2302,24219,804,30000,0.129266666666667,0.8341,0.064637258476121
"19","2",9,"A6","3852",565,3618,25396,240,30000,0.139433333333333,0.854533333333333,0.0278535698044566
"20","2",8,"A6","3852",856,4979,23560,312,30000,0.1945,0.795733333333333,0.100410376115357
"21","1",9,"A6","3984",1671,1606,23406,646,30000,0.109233333333333,0.801733333333333,0.0468907000111645
"22","3",5,"B2","3920",4758,15501,8912,774,30000,0.6753,0.322866666666667,0.651160261058738
"23","3",6,"B2","3920",3292,24254,1938,492,30000,0.9182,0.081,0.913625127235713
"24","3",8,"B2","3920",640,3687,24738,813,30000,0.144233333333333,0.8517,0.0557923865081146
"25","3",7,"B2","3920",1808,7521,19646,976,30000,0.310966666666667,0.6874,0.222504840362932
"26","2",5,"B4","3920",4547,9791,12852,4644,31884,0.449692635804792,0.548739179525781,0.411335220530924
"27","2",7,"B4","3920",3481,5419,19478,1521,30000,0.296666666666667,0.699966666666667,0.228459722632045
"28","2",9,"B4","3920",2503,3925,22149,1284,30000,0.214266666666667,0.7811,0.112930119751402
"29","3",6,"B6","3920",12963,14631,1884,461,30000,0.9198,0.0781666666666667,0.915370074160244
"30","3",8,"B6","3920",1477,1790,26047,615,30000,0.1089,0.888733333333333,0.0161543639219206
"31","3",7,"B6","3920",8805,13087,7041,840,30000,0.729733333333333,0.2627,0.699441934626628
"32","1",6,"C3","3920",5523,12263,10805,1289,30000,0.592866666666667,0.403133333333333,0.54397437426218
"33","1",7,"C3","3920",6285,16101,6170,1301,30000,0.7462,0.249033333333333,0.733407095652962
"34","3",6,"C3","3984",3337,24501,1566,484,30000,0.927933333333333,0.0683333333333333,0.924240221026611
"35","1",8,"C3","3920",612,1950,26122,1167,30000,0.0854,0.909633333333333,0.0166605905942399
"36","3",7,"C3","3984",3381,21502,3963,1096,30000,0.829433333333333,0.168633333333333,0.812991154474014
"37","1",9,"C3","3920",275,1164,27755,598,30000,0.0479666666666667,0.9451,-0.0215101782590897
"38","2",5,"C5","3984",14420,13230,1389,832,30000,0.921666666666667,0.0740333333333333,0.921209938782859
"39","3",5,"C5","3852",2162,11892,15554,330,30000,0.468466666666667,0.529466666666667,0.426178390137781
"40","3",6,"C5","3852",2360,24560,2865,201,30000,0.897333333333333,0.1022,0.890868111094954
"41","2",9,"C5","3984",2214,2884,21080,1284,30000,0.169933333333333,0.745466666666667,0.0625284220100045
"42","3",8,"C5","3852",1157,7922,20263,547,30000,0.302633333333333,0.693666666666667,0.233490389649241
"43","2",8,"C5","3984",3902,5400,17612,1327,30000,0.310066666666667,0.6313,0.230940100146832
"44","3",7,"C5","3852",1176,7839,20406,414,30000,0.3005,0.694,0.210584260278653
"45","1",6,"D2","3852",3623,9903,15252,1125,30000,0.450866666666667,0.5459,0.379274243888556
"46","1",7,"D2","3852",2809,18201,7753,1158,30000,0.700333333333333,0.297033333333333,0.683635535008926
"47","1",8,"D2","3852",308,1620,27575,415,30000,0.0642666666666667,0.933,-0.0064527889172439
"48","2",6,"E1","3920",4568,19613,5239,538,30000,0.806033333333333,0.192566666666667,0.793089535267579
"49","2",7,"E1","3920",3381,11320,14534,701,30000,0.490033333333333,0.507833333333333,0.442424018884627
"50","2",5,"E1","3920",4750,18078,6218,914,30000,0.760933333333333,0.237733333333333,0.747569319409435
"51","2",9,"E1","3920",910,3174,25374,400,30000,0.136133333333333,0.859133333333333,0.0241018644838563
"52","2",8,"E1","3920",1042,4544,23530,830,30000,0.1862,0.812,0.0910357290764655
"53","1",6,"E5","3852",12974,11621,4919,446,30000,0.819833333333333,0.178833333333333,0.807223948842932
"54","1",7,"E5","3852",12736,12269,4313,489,30000,0.8335,0.160066666666667,0.828139448361342
"55","1",8,"E5","3852",1711,1921,25882,295,30000,0.121066666666667,0.872566666666667,0.0556689755741888
"56","1",9,"E5","3852",821,933,28072,140,30000,0.0584666666666667,0.9404,-0.00978750325629862
"57","3",5,"F6","3984",3053,25305,1396,214,30000,0.945266666666667,0.0536666666666667,0.944815083393764
"58","1",7,"F6","3920",4666,10518,12257,2293,30000,0.506133333333333,0.485,0.472902168503
"59","3",6,"F6","3984",2551,26503,654,270,30000,0.968466666666667,0.0308,0.96844554311473
"60","1",8,"F6","3920",540,1677,26858,732,30000,0.0739,0.919666666666667,0.00408312067079839
"61","3",8,"F6","3984",862,5665,21036,794,30000,0.217566666666667,0.727666666666667,0.138059980554932
"62","3",7,"F6","3984",2209,22480,4024,1018,30000,0.822966666666667,0.168066666666667,0.805626210090733
"63","1",9,"F6","3920",962,2187,26037,548,30000,0.104966666666667,0.886166666666667,0.0421272003274906
"64","1",5,"G3","3984",19950,7751,84,885,30000,0.923366666666667,0.0323,0.930473630937838
"65","1",6,"G3","3984",14402,9949,5040,516,30000,0.8117,0.1852,0.797790420248762
"66","1",7,"G3","3984",13047,12785,2949,1016,30000,0.861066666666667,0.132166666666667,0.858053024417024
"67","1",8,"G3","3984",5127,4424,18483,721,30000,0.318366666666667,0.640133333333333,0.271454611738972
"68","1",9,"G3","3984",429,224,26240,165,30000,0.0217666666666667,0.880166666666667,-0.0507610435041495
"69","2",5,"H2","3984",2724,26131,742,318,30000,0.961833333333333,0.0353333333333333,0.964602088584804
"70","2",6,"H2","3984",3133,19883,5370,753,30000,0.7672,0.2041,0.750357627553828
"71","3",5,"H2","3852",11123,8081,9199,1554,30000,0.640133333333333,0.358433333333333,0.612907904278463
"72","2",7,"H2","3984",2786,20044,5118,783,30000,0.761,0.1967,0.742254352316318
"73","3",6,"H2","3852",18228,7490,3555,674,30000,0.857266666666667,0.140966666666667,0.847171731859823
"74","3",8,"H2","3852",3971,2885,22313,576,30000,0.228533333333333,0.762966666666667,0.150362725301025
"75","2",8,"H2","3984",1445,8500,14206,1204,30000,0.3315,0.513666666666667,0.255148526034411
"76","3",7,"H2","3852",11212,6770,11282,588,30000,0.5994,0.395666666666667,0.551004138035762
"77","2",5,"H4","3852",19197,7783,2508,408,30000,0.899333333333333,0.0972,0.897083183291322
"78","2",6,"H4","3852",9302,4814,14913,801,30000,0.470533333333333,0.5238,0.423907860470234
"79","2",7,"H4","3852",7922,4329,16850,660,30000,0.408366666666667,0.583666666666667,0.352058129241664
"80","2",9,"H4","3852",4069,2598,22596,489,30000,0.222233333333333,0.7695,0.121987266939518
"81","1",5,"A1","3324a",301,741,19970,8988,30000,0.0347333333333333,0.965266666666667,0
"82","1",5,"D4","3324a",3123,8725,10428,7724,30000,0.394933333333333,0.605066666666667,0.3771596104848
"83","1",5,"F2","3850",151738,114344,373,6953,273408,0.973204880617977,0.0267951193820225,0.98265842094654
"84","1",5,"G5","3850",9895,19798,19,288,30000,0.989766666666667,0.0102333333333333,1
"85","2",5,"D2","3324a",1723,2822,14573,10882,30000,0.1515,0.8485,0.0891969751530428
"86","2",5,"G3","3850",14625,14452,305,618,30000,0.969233333333333,0.0307666666666667,0.972596326971552
"87","2",5,"G5","3324a",803,1265,17385,10547,30000,0.0689333333333333,0.931066666666667,0
"88","2",5,"H1","3850",15361,14477,5,157,30000,0.9946,0.0054,1
"89","3",5,"A5","3850",3900,25891,107,102,30000,0.993033333333333,0.00696666666666667,0.996773023930384
"90","3",5,"G1","3850",19211,10669,62,58,30000,0.996,0.004,1
"91","3",5,"G3","3324a",843,1457,19719,7981,30000,0.0766666666666667,0.923333333333333,0
"92","3",5,"H1","3324a",1421,1593,16400,10586,30000,0.100466666666667,0.899533333333333,0.0258883248730965
"93","1",6,"A1","3324a",1077,2639,14645,11639,30000,0.123866666666667,0.876133333333333,0
"94","1",6,"D4","3324a",1988,2299,15901,9812,30000,0.1429,0.8571,0.0220760033904552
"95","1",6,"F2","3850",45471,54543,143,1273,101430,0.986039633244602,0.0139603667553978,1
"96","1",6,"G5","3850",10734,17965,236,1065,30000,0.956633333333333,0.0433666666666667,0.965892806836677
"97","2",6,"D2","3324a",927,1632,14515,12926,30000,0.0853,0.9147,0
"98","2",6,"G3","3850",13616,16175,44,165,30000,0.993033333333333,0.00696666666666667,0.998862927777574
"99","2",6,"G5","3324a",1121,1475,15516,11888,30000,0.0865333333333333,0.913466666666667,0.0013571507170891
"100","2",6,"H1","3850",15139,14683,19,159,30000,0.994066666666667,0.00593333333333333,1
"101","3",6,"A5","3850",5038,4961,17125,2876,30000,0.3333,0.6667,0.275737967136833
"102","3",6,"G1","3850",18733,11189,35,43,30000,0.9974,0.0026,1
"103","3",6,"G3","3324a",723,1691,15890,11696,30000,0.0804666666666667,0.919533333333333,0
"104","3",6,"H1","3324a",1361,1928,13416,13295,30000,0.109633333333333,0.890366666666667,0.0318089283117638
"105","1",7,"A1","3324a",419,1691,15311,12579,30000,0.0703333333333333,0.929666666666667,0
"106","1",7,"D4","3324a",661,1736,14704,12899,30000,0.0799,0.9201,0.0103811321982837
"107","1",7,"F2","3850",39929,55681,11,772,96393,0.991877003516853,0.00812299648314712,1
"108","1",7,"G5","3850",9823,19823,22,332,30000,0.9882,0.0118,0.996009951957979
"109","2",7,"D2","3324a",494,655,505,968,2622,0.438215102974828,0.561784897025172,0.385086053749072
"110","2",7,"G3","3850",13266,16552,11,171,30000,0.993933333333333,0.00606666666666667,1
"111","2",7,"G5","3324a",1211,1495,14037,13257,30000,0.0902,0.9098,0
"112","2",7,"H1","3850",14352,14980,378,290,30000,0.977733333333333,0.0222666666666667,0.982074358217763
"113","3",7,"A5","3850",2602,27207,14,177,30000,0.993633333333333,0.00636666666666667,1
"114","3",7,"G1","3850",16763,12135,695,407,30000,0.963266666666667,0.0367333333333333,0.965415132303253
"115","3",7,"G3","3324a",1140,2328,11784,14748,30000,0.1156,0.8844,0
"116","3",7,"H1","3324a",1436,2362,11603,14599,30000,0.1266,0.8734,0.0125279981777457
"117","1",8,"A1","3324a",470,1635,11738,16157,30000,0.0701666666666667,0.929833333333333,0
"118","1",8,"D4","3324a",950,1838,12685,14527,30000,0.0929333333333333,0.907066666666667,0.0248997448049581
"119","1",8,"F2","3850",10941,18594,169,296,30000,0.9845,0.0155,1
"120","1",8,"G5","3850",6742,20220,1804,1234,30000,0.898733333333333,0.101266666666667,0.906197593875319
"121","2",8,"G3","3850",11848,17080,31,1041,30000,0.964266666666667,0.0357333333333333,0.969843002898987
"122","2",8,"G5","3324a",1126,2042,12604,14228,30000,0.1056,0.8944,0
"123","2",8,"H1","3850",12701,17028,25,246,30000,0.990966666666667,0.00903333333333333,1
"124","3",8,"A5","3850",2994,26583,187,236,30000,0.9859,0.0141,1
"125","3",8,"G1","3850",10800,11284,2894,5022,30000,0.736133333333333,0.263866666666667,0.719804053548725
"126","3",8,"G3","3324a",723,2112,13161,14004,30000,0.0945,0.9055,0
"127","3",8,"H1","3324a",1748,2519,10272,15461,30000,0.142233333333333,0.857766666666667,0.0535487248522923
"128","1",9,"A1","3324a",556,1461,11811,16172,30000,0.0672333333333333,0.932766666666667,0
"129","1",9,"D4","3324a",1283,1635,12633,14449,30000,0.0972666666666667,0.902733333333333,0.0335305719921105
"130","1",9,"F2","3850",10848,18040,727,385,30000,0.962933333333333,0.0370666666666667,1
"131","1",9,"G5","3850",6714,17742,639,4905,30000,0.8152,0.1848,0.835063823452793
"132","2",9,"D2","3324a",1294,2877,10144,15685,30000,0.139033333333333,0.860966666666667,0.0273988176443838
"133","2",9,"G3","3850",6846,12094,476,10584,30000,0.631333333333333,0.368666666666667,0.587085038653934
"134","2",9,"G5","3324a",1221,2227,11381,15171,30000,0.114933333333333,0.885066666666667,0
"135","2",9,"H1","3850",12772,17064,8,156,30000,0.994533333333333,0.00546666666666667,1
"136","1",5,"A3","3911",17586,10763,697,954,30000,0.944966666666667,0.0550333333333333,0.953090642560469
"137","1",5,"A5","3824",7292,20106,439,2163,30000,0.913266666666667,0.0867333333333333,0.919898083836515
"138","1",5,"B2","3905",4980,22184,855,1981,30000,0.905466666666667,0.0945333333333333,0.911730829639454
"139","1",5,"B4","3324m",54130,378841,8347,39240,480558,0.900975532610008,0.0990244673899925,0.90702823560435
"140","1",5,"B6","3842",7941,21394,193,472,30000,0.977833333333333,0.0221666666666667,0.987504799134411
"141","1",5,"C1","3821",12847,14559,739,1855,30000,0.913533333333333,0.0864666666666667,0.920177306202227
"142","1",5,"C5","3905",19613,9666,354,367,30000,0.975966666666667,0.0240333333333333,0.98555024257443
"143","1",5,"D6","3911",22326,7236,96,342,30000,0.9854,0.0146,0.995427733761474
"144","1",5,"E1","3822",15088,9621,1943,3348,30000,0.823633333333333,0.176366666666667,0.82604446616174
"145","1",5,"E3","3973",4409,18366,2005,5220,30000,0.759166666666667,0.240833333333333,0.758542459250986
"146","1",5,"F4","3821",20764,7504,1047,685,30000,0.942266666666667,0.0577333333333333,0.95026351610764
"147","1",5,"G1","3824",4976,22095,278,2651,30000,0.902366666666667,0.0976333333333333,0.908484869638058
"148","1",5,"H1","3324m",18131,9776,537,1556,30000,0.930233333333333,0.0697666666666667,0.937663606854909
"149","1",5,"H2","3842",24140,5042,504,314,30000,0.972733333333333,0.0272666666666667,0.982164671390178
"150","1",5,"H4","3822",13368,10632,2265,3735,30000,0.8,0.2,0.801298384000559
"151","1",5,"H6","3973",20303,9166,247,284,30000,0.9823,0.0177,0.992181773760078
"152","2",5,"A1","3905",4338,17448,4266,3948,30000,0.7262,0.2738,0.71004681310767
"153","2",5,"A3","3822",4451,20832,1778,2939,30000,0.842766666666667,0.157233333333333,0.835974072740367
"154","2",5,"A5","3973",13776,13111,1375,1738,30000,0.896233333333333,0.103766666666667,0.893734245588765
"155","2",5,"B2","3821",14299,11583,2146,1972,30000,0.862733333333333,0.137266666666667,0.857544112351458
"156","2",5,"B6","3842",3515,20277,2574,3634,30000,0.793066666666667,0.206933333333333,0.78228303925099
"157","2",5,"C1","3911",3526,24187,619,1668,30000,0.923766666666667,0.0762333333333333,0.92347857400072
"158","2",5,"D4","3911",10794,9977,5317,3912,30000,0.692366666666667,0.307633333333333,0.673496579042132
"159","2",5,"D6","3824",10407,13717,2472,3404,30000,0.804133333333333,0.195866666666667,0.79423838674829
"160","2",5,"E3","3842",2639,18659,2327,6375,30000,0.709933333333333,0.290066666666667,0.692473892689953
"161","2",5,"E5","3324m",4384,22739,1096,1781,30000,0.9041,0.0959,0.902232625135038
"162","2",5,"F2","3324m",2987,21086,1900,4027,30000,0.802433333333333,0.197566666666667,0.792401872524307
"163","2",5,"F4","3905",14536,13862,695,907,30000,0.9466,0.0534,0.948145480734606
"164","2",5,"F6","3822",4847,17915,3505,3733,30000,0.758733333333333,0.241266666666667,0.745192653943104
"165","2",5,"G1","3973",13245,12814,2234,1707,30000,0.868633333333333,0.131366666666667,0.863917897011163
"166","2",5,"H6","3821",2789,15271,7145,4795,30000,0.602,0.398,0.575873244508462
"167","3",5,"A1","3822",15642,11358,1730,1270,30000,0.9,0.1,0.895576504713561
"168","3",5,"A6","3821",4180,20735,3075,2010,30000,0.8305,0.1695,0.819978245105149
